entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link
29,hsa:9184,9184,gene,830.0,315.0,46.0,17.0,#BFFFBF,#000000,BUB3,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:9184
30,hsa:8555 hsa:8556,8555;8556,gene,919.0,578.0,46.0,17.0,#BFFFBF,#000000,CDC14B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:8555+hsa:8556
31,hsa:10971 hsa:7529 hsa:7531 hsa:7532 hsa:7533 hsa:7534,10971;7529;7531;7532;7533;7534,gene,850.0,352.0,46.0,17.0,#BFFFBF,#000000,YWHAQ,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10971+hsa:7529+hsa:7531+hsa:7532+hsa:7533+hsa:7534
32,hsa:2810,2810,gene,638.0,313.0,46.0,17.0,#BFFFBF,#000000,SFN,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:2810
33,hsa:1111 hsa:11200,1111;11200,gene,696.0,299.0,46.0,17.0,#BFFFBF,#000000,CHEK1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1111+hsa:11200
34,hsa:1026,1026,gene,459.0,313.0,46.0,17.0,#BFFFBF,#000000,CDKN1A,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1026
35,hsa:5591,5591,gene,640.0,163.0,46.0,17.0,#BFFFBF,#000000,PRKDC,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5591
36,hsa:4193,4193,gene,532.0,179.0,46.0,17.0,#BFFFBF,#000000,MDM2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4193
37,hsa:1387 hsa:2033,1387;2033,gene,590.0,150.0,46.0,17.0,#BFFFBF,#000000,CREBBP,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1387+hsa:2033
38,hsa:6502,6502,gene,432.0,208.0,46.0,17.0,#BFFFBF,#000000,SKP2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:6502
39,hsa:9088,9088,gene,763.0,528.0,46.0,17.0,#BFFFBF,#000000,PKMYT1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:9088
40,hsa:494551 hsa:7465,494551;7465,gene,704.0,528.0,46.0,17.0,#BFFFBF,#000000,WEE2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:494551+hsa:7465
41,hsa:10744 hsa:9232,10744;9232,gene,919.0,245.0,46.0,17.0,#BFFFBF,#000000,PTTG2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10744+hsa:9232
42,hsa:9700,9700,gene,919.0,198.0,46.0,17.0,#BFFFBF,#000000,ESPL1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:9700
43,hsa:27127 hsa:8243,27127;8243,gene,895.0,117.0,46.0,17.0,#BFFFBF,#000000,SMC1B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:27127+hsa:8243
44,path:hsa04210,hsa04210,map,753.0,243.0,69.0,26.0,#FFFFFF,#000000,Apoptosis,roundrectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa04210
45,hsa:6502,6502,gene,188.0,536.0,46.0,17.0,#BFFFBF,#000000,SKP2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:6502
46,hsa:5925,5925,gene,637.0,528.0,46.0,17.0,#BFFFBF,#000000,RB1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5925
47,hsa:10912 hsa:1647 hsa:4616,10912;1647;4616,gene,559.0,313.0,46.0,17.0,#BFFFBF,#000000,GADD45G,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10912+hsa:1647+hsa:4616
48,hsa:5925,5925,gene,504.0,243.0,46.0,17.0,#BFFFBF,#000000,RB1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5925
49,hsa:7157,7157,gene,590.0,243.0,46.0,17.0,#BFFFBF,#000000,TP53,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7157
50,hsa:1027 hsa:1028,1027;1028,gene,407.0,313.0,46.0,17.0,#BFFFBF,#000000,CDKN1B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1027+hsa:1028
51,hsa:1030,1030,gene,256.0,313.0,46.0,17.0,#BFFFBF,#000000,CDKN2B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1030
