source,target,edge_type,subtype,value,source_kind,reversible,n_points
BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,SmallMolecule_6bb24765bd3b62eaf6395a38028f05ac,production,production,BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT-output--to--SmallMolecule_6bb24765bd3b62eaf6395a38028f05ac,arc,false,2
ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT,SmallMolecule_680b03fa394fc06662ec3e94547555ec,production,production,ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT-output--to--SmallMolecule_680b03fa394fc06662ec3e94547555ec,arc,false,2
ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT,Protein_ef666e393918c05a3451b9106e520495,production,production,ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT-output--to--Protein_ef666e393918c05a3451b9106e520495,arc,false,2
Complex_11851c2240a559a2fcd9de61d553684c,ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT,consumption,consumption,Complex_11851c2240a559a2fcd9de61d553684c--to--ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT,SmallMolecule_b8939555edb74517abd9c2e5c8d1330d,production,production,ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT-output--to--SmallMolecule_b8939555edb74517abd9c2e5c8d1330d,arc,false,2
ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT,Complex_11851c2240a559a2fcd9de61d553684c,production,production,ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT-output--to--Complex_11851c2240a559a2fcd9de61d553684c,arc,false,2
BiochemicalReaction_69ac0e38aa1214bbe7b90c612a7f07d8_LEFT_TO_RIGHT,SmallMolecule_0c4a7b14fac6746b352a030f1ba4c1be,production,production,BiochemicalReaction_69ac0e38aa1214bbe7b90c612a7f07d8_LEFT_TO_RIGHT-output--to--SmallMolecule_0c4a7b14fac6746b352a030f1ba4c1be,arc,false,2
Protein_9658f5cb31fa6b3319c4f835ec255f17,BiochemicalReaction_69ac0e38aa1214bbe7b90c612a7f07d8_LEFT_TO_RIGHT,catalysis,catalysis,Protein_9658f5cb31fa6b3319c4f835ec255f17--to--BiochemicalReaction_69ac0e38aa1214bbe7b90c612a7f07d8_LEFT_TO_RIGHT,arc,false,2
ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT,Protein_a71e0202399297eb56653c5a0d76d30d,production,production,ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT-output--to--Protein_a71e0202399297eb56653c5a0d76d30d,arc,false,2
ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT,Protein_095f54d1d22526b62115de28706b23f0,production,production,ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT-output--to--Protein_095f54d1d22526b62115de28706b23f0,arc,false,2
ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT,SmallMolecule_a25ed355cc2a6a0800babeb708e2cba4,production,production,ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT-output--to--SmallMolecule_a25ed355cc2a6a0800babeb708e2cba4,arc,false,2
Protein_095f54d1d22526b62115de28706b23f0,ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT,consumption,consumption,Protein_095f54d1d22526b62115de28706b23f0--to--ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_7753c3822ee83d806156d21648c931e6,ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_7753c3822ee83d806156d21648c931e6--to--ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267,BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267--to--BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT,Complex_33b98f178303ceef166819f17daaed43,production,production,ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT-output--to--Complex_33b98f178303ceef166819f17daaed43,arc,false,2
ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT,Protein_b8e33f6ebba469f6187e8e8b6641868e,production,production,ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT-output--to--Protein_b8e33f6ebba469f6187e8e8b6641868e,arc,false,2
TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,SmallMolecule_d6e1edab5acc63ab37e4709f277a00f3,production,production,TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT-output--to--SmallMolecule_d6e1edab5acc63ab37e4709f277a00f3,arc,false,2
Protein_909ce67b3192938e0043155e62a78e04,TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT,stimulation,stimulation,Protein_909ce67b3192938e0043155e62a78e04--to--TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT,arc,false,2
TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT,SmallMolecule_7753c3822ee83d806156d21648c931e6,production,production,TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT-output--to--SmallMolecule_7753c3822ee83d806156d21648c931e6,arc,false,2
Protein_78ba18c5ad71491fadbf87a2024002c5,BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT,catalysis,catalysis,Protein_78ba18c5ad71491fadbf87a2024002c5--to--BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT,arc,false,2
SmallMolecule_6bb24765bd3b62eaf6395a38028f05ac,ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_6bb24765bd3b62eaf6395a38028f05ac--to--ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_fd99ce3cbe50e6825c8918216b06b645,ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_fd99ce3cbe50e6825c8918216b06b645--to--ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT-input,arc,false,2
Complex_c0c21acd06cad8915dc6d562a17cb92b,ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT,consumption,consumption,Complex_c0c21acd06cad8915dc6d562a17cb92b--to--ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT,SmallMolecule_1001e1fb13025a56e761165c244fc5ac,production,production,ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT-output--to--SmallMolecule_1001e1fb13025a56e761165c244fc5ac,arc,false,2
Protein_9658f5cb31fa6b3319c4f835ec255f17,BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT,catalysis,catalysis,Protein_9658f5cb31fa6b3319c4f835ec255f17--to--BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT,arc,false,2
SmallMolecule_680b03fa394fc06662ec3e94547555ec,TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_680b03fa394fc06662ec3e94547555ec--to--TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_96737c854fd379b17cb3b7715570b733,BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_96737c854fd379b17cb3b7715570b733--to--BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_a25ed355cc2a6a0800babeb708e2cba4,TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_a25ed355cc2a6a0800babeb708e2cba4--to--TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT-input,arc,false,2
