entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link,glyph_class,clone_marker,compartment
Complex_44d4dcd34a2e5efec04d9de60ae65344,Complex (VAT1/norepinephrine),Complex (VAT1/norepinephrine),gene,2429.07161354319,1092.11320534608,81.0,99.75,#FFFFFF,#000000,Complex (VAT1/norepinephrine),octagon,"","",1,"",complex,false,dense_core_granule
SmallMolecule_b89976b90e8be58d12081cd3662b83ec_Complex_44d4dcd34a2e5efec04d9de60ae65344,norepinephrine,norepinephrine,compound,2414.07161354319,1067.73820534608,40.0,40.0,#FFFFFF,#000000,norepinephrine,circle,"",Complex_44d4dcd34a2e5efec04d9de60ae65344,1,"",simple chemical,false,dense_core_granule
Protein_51ab5a199dfaade855ed64a9f22c969d_Complex_44d4dcd34a2e5efec04d9de60ae65344,VAT1,VAT1,gene,2429.07161354319,1116.48820534608,70.0,40.0,#FFFFFF,#000000,VAT1,roundrectangle,"",Complex_44d4dcd34a2e5efec04d9de60ae65344,1,"",macromolecule,false,dense_core_granule
Protein_29affa8c14b24efa919422a19945a414,DDC,DDC,gene,2196.06232867291,585.22160859174,70.0,40.0,#FFFFFF,#000000,DDC,roundrectangle,"","",1,"",macromolecule,false,dense_core_granule
Protein_b8e33f6ebba469f6187e8e8b6641868e,SLC18A2,SLC18A2,gene,1754.55045755168,457.568423175195,70.0,40.0,#FFFFFF,#000000,SLC18A2,roundrectangle,"","",1,"",macromolecule,false,dense_core_granule
SmallMolecule_a25ed355cc2a6a0800babeb708e2cba4,epinephrine,epinephrine,compound,2167.5998522753,1116.96970825282,40.0,40.0,#FFFFFF,#000000,epinephrine,circle,"","",1,"",simple chemical,false,dense_core_granule
SmallMolecule_680b03fa394fc06662ec3e94547555ec,norepinephrine,norepinephrine,compound,2220.25647557074,997.176618248309,40.0,40.0,#FFFFFF,#000000,norepinephrine,circle,"","",1,"",simple chemical,false,dense_core_granule
SmallMolecule_51141e75306a35b0e376681a8af8e2f3,dopamine,dopamine,compound,1990.24274788291,753.215224396389,40.0,40.0,#FFFFFF,#000000,dopamine,circle,"","",1,"",simple chemical,false,dense_core_granule
TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,process,2061.4725391369634,987.5875499632124,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT,ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT,ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT,process,2255.6258436448434,1206.3622009909232,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
