gene_set,set_size,stat_mean,p_geomean,p_val,q_val,effect
hsa00532 Glycosaminoglycan biosynthesis - chondroitin sulfate,22,0.012505494954323395,0.4265298742783462,0.5187136027106993,1.0,0.18912342657342654
hsa00604 Glycosphingolipid biosynthesis - ganglio series,15,0.0941854754256716,0.4670369897283555,0.6300737391387198,1.0,0.23998000000000003
hsa04122 Sulfur relay system,10,0.1352895142970498,0.4914491242309939,0.6807199302079994,1.0,0.2986776923076923
hsa00051 Fructose and mannose metabolism,32,0.13129809720482136,0.40960637695463753,0.6825948007435061,1.0,0.26199879807692306
hsa00480 Glutathione metabolism,49,0.14040589364579648,0.4489872556247965,0.6902018789156256,1.0,0.27501773940345364
hsa00514 Other types of O-glycan biosynthesis,34,0.1603351637636468,0.40865945432703016,0.7119027703179135,1.0,0.30274502262443437
hsa00770 Pantothenate and CoA biosynthesis,16,0.15754122435371049,0.49341535238394146,0.7159492948692164,1.0,0.28137403846153847
hsa04916 Melanogenesis,100,0.1593883754357598,0.4002235475712542,0.7175731933073946,1.0,0.21680815384615384
hsa00565 Ether lipid metabolism,31,0.1673295908851882,0.489628004470325,0.7255447161342847,1.0,0.28238933002481387
hsa04130 SNARE interactions in vesicular transport,36,0.20975442151765347,0.508916944479439,0.7723423976954347,1.0,0.25240918803418805
hsa04614 Renin-angiotensin system,17,0.22546805600493916,0.3654433042429929,0.7809258038219331,1.0,0.3859076923076924
hsa00600 Sphingolipid metabolism,36,0.21818227210436925,0.4293795775038675,0.780938770838945,1.0,0.2798367521367522
hsa04540 Gap junction,88,0.22285622357070775,0.31889891283504623,0.7887986666998752,1.0,0.22798461538461542
hsa00511 Other glycan degradation,15,0.22062554721777194,0.3875297578956944,0.7935598163641973,1.0,0.3173261538461538
hsa00601 Glycosphingolipid biosynthesis - lacto and neolacto series,25,0.23567296626266984,0.416067897598089,0.7986756928034424,1.0,0.35061169230769235
hsa04340 Hedgehog signaling pathway,56,0.23914172596082708,0.3949310310931871,0.8045863671373716,1.0,0.25838832417582414
hsa03060 Protein export,22,0.2556056374622276,0.4004884866010074,0.8108711023244168,1.0,0.31319300699300706
hsa00520 Amino sugar and nucleotide sugar metabolism,45,0.2643201002926375,0.5124478086993293,0.8286159500964916,1.0,0.30897965811965816
hsa00030 Pentose phosphate pathway,26,0.27420179250402077,0.5280857321723261,0.8363103751760561,1.0,0.3228313609467455
hsa00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,25,0.2993958158493638,0.41713155817889697,0.8542223212786596,1.0,0.31728738461538464
hsa04350 TGF-beta signaling pathway,83,0.3099564307551365,0.4852224929483511,0.8665274237998104,1.0,0.25275440222428175
hsa04977 Vitamin digestion and absorption,23,0.3928969473069421,0.4686259729182144,0.9029246660189444,1.0,0.4902622073578596
hsa04610 Complement and coagulation cascades,67,0.3886379769572521,0.18875021667811584,0.9086407034057438,1.0,0.29611814006888637
hsa04010 MAPK signaling pathway,265,0.37143174304681836,0.3768238313431759,0.9088992911710569,1.0,0.23313619738751812
hsa00920 Sulfur metabolism,12,0.4120675490070584,0.5166765565155408,0.918402705796667,1.0,0.45692628205128205
hsa04973 Carbohydrate digestion and absorption,41,0.40125437951844656,0.49161451495134534,0.9237368959731762,1.0,0.30885384615384615
hsa00270 Cysteine and methionine metabolism,36,0.477096200944819,0.6164317201829681,0.9556542362953825,1.0,0.32182350427350426
hsa00564 Glycerophospholipid metabolism,71,0.4752352413157614,0.5951649598465456,0.9559886014828628,1.0,0.3133862405200433
hsa01040 Biosynthesis of unsaturated fatty acids,18,0.4870871605094886,0.6281128567385064,0.958207789141992,1.0,0.36982264957264954
hsa00970 Aminoacyl-tRNA biosynthesis,23,0.5615935033556356,0.5442952788480359,0.9757386173267192,1.0,0.380019397993311
hsa04310 Wnt signaling pathway,149,0.55998358663418,0.5113145195345601,0.9779175437647654,1.0,0.26542989158492514
hsa04530 Tight junction,124,0.561535889457452,0.47056469849829025,0.9781097832130067,1.0,0.2973307071960298
hsa00052 Galactose metabolism,26,0.6208352168260999,0.6029432901205561,0.9861833357051272,1.0,0.4021795857988166
hsa04142 Lysosome,117,0.6383487370980254,0.4386908378197255,0.9887850566517731,1.0,0.2975784352399737
hsa04012 ErbB signaling pathway,86,0.6381672688121574,0.6029960085752462,0.9889128477325493,1.0,0.30023542039356
hsa04144 Endocytosis,192,0.6445255622980637,0.5532774776418241,0.989774750017085,1.0,0.2807111778846154
hsa04370 VEGF signaling pathway,75,0.6678270179693898,0.6355011156946103,0.9916593604020724,1.0,0.32351271794871794
hsa04664 Fc epsilon RI signaling pathway,78,0.7016658029136363,0.5934419468897569,0.9940302430243938,1.0,0.33184625246548316
hsa00100 Steroid biosynthesis,17,0.7446985942299568,0.5202688491903854,0.9943802380053977,1.0,0.5547986425339366
hsa00670 One carbon pool by folate,18,0.7499391767719348,0.6550254758906204,0.9958194053445212,1.0,0.49648376068376077
hsa04320 Dorso-ventral axis formation,24,0.7614675523445501,0.6111131379095176,0.9962794115998507,1.0,0.41676057692307694
hsa00983 Drug metabolism - other enzymes,42,0.7577146006044954,0.6036169392234265,0.9962835911421614,1.0,0.43335109890109885
hsa04520 Adherens junction,68,0.754642326492996,0.683111162051288,0.9965737800360989,1.0,0.33911481900452484
hsa04360 Axon guidance,127,0.755259654184688,0.60935158959612,0.9966426043673692,1.0,0.2998063597819503
hsa04722 Neurotrophin signaling pathway,126,0.7985149273485882,0.6586330713645232,0.9979183350785904,1.0,0.304747557997558
hsa03450 Non-homologous end-joining,12,0.8187778321428738,0.7590436662864117,0.9979536497473572,1.0,0.5246852564102564
hsa00533 Glycosaminoglycan biosynthesis - keratan sulfate,14,0.8294471507773492,0.7371332254086892,0.9982074781421554,1.0,0.5374423076923077
hsa04141 Protein processing in endoplasmic reticulum,159,0.8814361783373842,0.50465376555597,0.9992041193711667,1.0,0.31928529269472666
hsa00790 Folate biosynthesis,10,0.9967917051515868,0.787066422734669,0.9997135505130396,1.0,0.7228576923076923
hsa03010 Ribosome,83,1.0669546890344845,0.24462001247945664,0.999839485041666,1.0,0.38523716404077846
hsa04623 Cytosolic DNA-sensing pathway,53,1.0183457893427805,0.6975838259056404,0.9998561393365006,1.0,0.426143976777939
hsa04810 Regulation of actin cytoskeleton,208,1.0126344907359093,0.596212220268492,0.9998576680299838,1.0,0.30222940088757394
hsa04622 RIG-I-like receptor signaling pathway,67,1.0759543724049037,0.7691063650505758,0.9999408860197642,1.0,0.38832858783008034
hsa03022 Basal transcription factors,34,1.1078453493222824,0.7709006170029399,0.9999561064279362,1.0,0.4431298642533936
hsa00510 N-Glycan biosynthesis,48,1.1190059837054644,0.5811602836792521,0.9999600235206613,1.0,0.4522645833333333
hsa04630 Jak-STAT signaling pathway,150,1.1430807376577983,0.5835965886631431,0.9999784997503334,1.0,0.3385608717948718
hsa00230 Purine metabolism,149,1.156626820550523,0.7359209083175665,0.9999833981368211,1.0,0.35269741868869386
hsa04672 Intestinal immune network for IgA production,43,1.2067523919636205,0.2576024600761171,0.9999845596883694,1.0,0.4673611806797854
hsa04640 Hematopoietic cell lineage,85,1.2361159307992688,0.3653901021573535,0.999992304779456,1.0,0.42959828054298643
hsa03020 RNA polymerase,28,1.2362315788523974,0.783625296484516,0.999992996085255,1.0,0.5078373626373627
hsa03015 mRNA surveillance pathway,78,1.3163713622390927,0.7587629679299533,0.9999986095137856,1.0,0.4024669625246548
hsa04510 Focal adhesion,197,1.3300269756122454,0.3129868454615245,0.9999987315885621,1.0,0.33036173369777433
hsa04662 B cell receptor signaling pathway,75,1.3783614405594875,0.5512178842332139,0.9999994844773911,1.0,0.439608
hsa04666 Fc gamma R-mediated phagocytosis,89,1.4192942716146546,0.6403651512534472,0.9999997717385729,1.0,0.43226309420916165
hsa04514 Cell adhesion molecules (CAMs),125,1.4397526034546193,0.2588822951454257,0.9999997870670111,1.0,0.4143612923076923
hsa04330 Notch signaling pathway,47,1.4294954771734636,0.874477954806811,0.9999998268067931,1.0,0.4919592471358428
