"kegg.names","labels","all.mapped","type","x","y","width","height","Control","Treatment","Control.col","Treatment.col"
"898","CCNE1","","gene",335,451,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"595","CCND1","595","gene",227,451,46,17,0.8,-0.8,"#D87272","#72D872"
"8379","MAD1L1","","gene",830,231,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"7272","TTK","","gene",830,181,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1031","CDKN2C","","gene",304,313,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1032","CDKN2D","","gene",352,313,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1029","CDKN2A","","gene",208,313,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"9126","SMC3","","gene",941,117,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"10274","STAG1","","gene",918,134,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5885","RAD21","","gene",918,151,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5933","RBL1","","gene",243,143,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1874","E2F4","","gene",243,160,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"4609","MYC","","gene",243,219,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"7709","ZBTB17","","gene",243,251,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"25","ABL1","","gene",413,526,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"7027","TFDP1","","gene",353,594,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1869","E2F1","","gene",353,577,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"3065","HDAC1","","gene",413,550,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5925","RB1","","gene",353,536,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"5933","RBL1","","gene",298,536,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"7027","TFDP1","","gene",298,594,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"1874","E2F4","","gene",298,577,46,17,NA,NA,"#FFFFFF","#FFFFFF"
"7027","TFDP1","","gene",243,177,46,17,NA,NA,"#FFFFFF","#FFFFFF"
