entrez_id	symbol
100124700	HOTAIR
100125288	GLP-1
100125387	LOC100125387
100125392	LOC100125392
100125393	LOC100125393
100125409	LOC100125409
100125556	LOC100125556
100125871	LOC100125871
100125918	LOC100125918
100126007	LOC100126007
100126008	LOC100126008
100126095	SATX2
100126270	ASFMR1
100126296	MIR298
100126297	MIR300
100126299	MIR886
100126300	MIR220B
100126301	MIR509-2
100126302	MIR450B
100126303	MIR890
100126304	MIR891B
100126306	MIR888
100126307	MIR892B
100126308	MIR541
100126309	MIR875
100126310	MIR876
100126311	MIR147B
100126313	MIR744
100126314	MIR877
100126315	MIR665
100126316	MIR873
100126317	MIR374B
100126318	MIR301B
100126319	MIR216B
100126320	MIR920
100126321	MIR922
100126322	MIR923
100126323	MIR924
100126324	MIR934
100126325	MIR935
100126326	MIR936
100126327	MIR938
100126328	MIR940
100126329	MIR941-1
100126330	MIRN941-4
100126331	MIR942
100126332	MIR943
100126333	MIR708
100126334	MIR885
100126335	MIR543
100126336	MIR208B
100126337	MIR509-3
100126338	MIR937
100126339	MIR941-2
100126340	MIR944
100126341	MIR891A
100126342	MIR892A
100126343	MIR874
100126344	MIR220C
100126345	MIR889
100126346	MIR190B
100126347	MIR887
100126348	MIR760
100126349	MIR921
100126350	MIR933
100126351	MIR939
100126352	MIR941-3
100126354	MIR297
100126355	MIR365-1
100126356	MIR365-2
100126446	DEPDC1P2
100126447	LOC100126447
100126448	LOC100126448
100126474	TRNAF-GAA
100126475	TRNAL-UAA
100126476	TRNAL-CAA
100126477	TRNAL-AAG
100126479	TRNAL-UAG
100126480	TRNAL-CAG
100126481	TRNAI-AAU
100126482	TRNAI-GAU
100126483	TRNAI-UAU
100126484	TRNAM-CAU
100126485	TRNAV-AAC
100126487	TRNAV-UAC
100126488	TRNAV-CAC
100126489	TRNAS-AGA
100126491	TRNAS-UGA
100126492	TRNAS-CGA
100126493	TRNAP-AGG
100126495	TRNAP-UGG
100126496	TRNAP-CGG
100126497	TRNAT-AGU
100126499	TRNAT-UGU
100126500	TRNAT-CGU
100126501	TRNAA-AGC
100126503	TRNAA-UGC
100126504	TRNAA-CGC
100126505	TRNAY-AUA
100126506	TRNAY-GUA
